Bee ID,Start Timestamp,End Timestamp,Event Type,
16,10:01:18,10.01.31,work (fussing around inside),
16,10:01:31,,exit,
27,10.02.30,,enter head first,
13,10.02.50,10.02.50,enter head first,
27,10.03.18,10.03.21,turn around,
13,10.03.22,10.03.23,turn around,
16,10.03.43,,enter head first,
6,10.03.51,,enter head first,
16,10.03.55,10.03.55,exit,
21,10.03.59,,enter head first,
39,10.04.28,,enter head first,
16,10.04.35,,exit,
6,10.04.55,,exit,
13,10.05.03,,enter head first,
39,10.05.06,,enter butt first,
21,10.05.11,,exit,
13,10.05.36,10.05.38,turn around,
27,10.05.38,10.06.04,work (fussing around inside),
39,10.05.47,,exit,
23,10.05.58,,enter,
13,10.06.04,,exit,
27,10.06.05,,exit,
16,10.06.17,,enter head first,
19,10.06.23,,enter head first,19 seems to be able to turn around inside the tube. enters and exits head first
23,10.07.04,,exit,
16,10.07.18,,exit,
19,10.07.18,10.08.05,work (fussing around inside),
19,10.08.05,,exit,
20,10.08.14,,enter head first,
21,10.08.14,,enter head first,
23,10.09.33,,enter head first,
16,10.09.42,,enter head first,
20,10.09.44,,exit,
13,10.09.53,,enter,
31,10.10.01,,enter,
23,10.10.10,,exit,
13,10.10.16,,turn around,
21,10.10.17,,exit,
35,10.10.42,,enter,
35,10.10.45,,exit,
16,10.10.53,,exit,
13,10.11.02,,exit,
35,10.11.54,,enter head first,
31,10.11.57,,exit,
19,10.12.28,,enter head first,
16,10.12.36,,enter head first,
21,10.12.49,,enter head first,
20,10.12.57,,enter head first,
35,10.13.03,,exit,
19,10.13.19,,exit,
21,10.13.33,,exit,
4,10.13.42,,enter head first,
38,10.14.12,,enter head first,
8,10.14.13,,enter head first,
13,10.14.22,,enter head first,
19,10.14.43,,enter head first,
38,10.14.58,,turn around,
4,10.14.58,,exit,
16,10.14.55,10.15.13,working,
19,10.15.12,,exit,
8,10.15.12,,turn around,
16,10.15.13,,exit,
21,10.15.22,,enter head first,
13,10.15.42,,exit,
38,10.15.52,,exit,
8,10.16.02,,enter head first,
26,10.16.04,10.16.10,exit headfirst and reenter headfirst...,
21,10.16.08,,exit,
4,10.16.32,,enter head first,
4,10.18.26,,exit,
13,10.18.51,,enter head first,
16,10.19.04,,enter head first,
21,10.19.08,,enter head first,
6,10.19.28,,enter head first,
23,10.19.52,,enter head first,
16,10:20.02,,exit,
13,10.20.10,,exit,
21,10.20.14,,exit,
19,10.20.40,,enter head first,
6,10.20.47,,exit,
23,10.21.14,,exit,
16,10.21.40,,enter head first,
21,10.22.02,,enter head first,
28,10.22.30,,enter head first,
16,10.22.36,,exit,
4,10.22.41,,exit,
21,10.22.51,,exit,
8,10.22.59,,enter head first,
19,10.23.25,,exit,
28,10.23.31,10.23.34,turn around,
8,10.23.45,10.23.48,turn around,
16,10.24.20,,enter head first,
8,10.24.24,,exit,
13,10.24.32,,enter head first,
21,10.24.48,,enter head first,
16,10.25.00,,exit,
4,10.25.07,,enter head first,
28,10.25.07,,exit,
21,10.25.45,,exit,
